Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Year
,,669.0,5.0,0.0,3.0,0.0,2.0,24.0,6.0,12.0,6.0,0.0,2020
,,,3.0,0.0,2.0,0.0,1.0,62.0,9.0,51.0,2.0,0.0,2020
,,,607.0,7.0,31.0,45.0,524.0,,201.0,765.0,128.0,15.0,2020
,,,13.0,0.0,1.0,1.0,11.0,65.0,26.0,32.0,7.0,0.0,2020
,,805.0,3.0,0.0,2.0,0.0,1.0,9.0,2.0,5.0,2.0,0.0,2020
,,,103.0,0.0,9.0,3.0,91.0,272.0,46.0,212.0,14.0,3.0,2020
,,,274.0,4.0,12.0,38.0,220.0,304.0,82.0,138.0,84.0,18.0,2020
,,,23.0,2.0,0.0,7.0,14.0,243.0,42.0,167.0,34.0,2.0,2020
,,,193.0,2.0,12.0,111.0,68.0,,196.0,,470.0,29.0,2020
,,,29.0,0.0,1.0,19.0,9.0,450.0,53.0,322.0,75.0,3.0,2020
,,,175.0,3.0,11.0,67.0,94.0,,235.0,,239.0,3.0,2020
,,,28.0,1.0,1.0,3.0,23.0,387.0,56.0,285.0,46.0,5.0,2020
,,,14.0,0.0,4.0,1.0,9.0,44.0,15.0,23.0,6.0,0.0,2020
,,,78.0,1.0,4.0,16.0,57.0,387.0,60.0,281.0,46.0,1.0,2020
,,,,16.0,133.0,412.0,680.0,,,,,49.0,2020
,,,70.0,0.0,10.0,9.0,51.0,197.0,34.0,104.0,59.0,0.0,2020
,,,12.0,0.0,1.0,2.0,9.0,125.0,28.0,79.0,18.0,0.0,2020
,,,591.0,9.0,40.0,142.0,400.0,,464.0,,573.0,45.0,2020
,,,427.0,4.0,20.0,44.0,359.0,861.0,196.0,502.0,163.0,9.0,2020
