State,City,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ARKANSAS,Greenwood,2020,9449.0,20.0,0.0,4.0,1.0,15.0,32.0,9.0,21.0,2.0,0.0
ARKANSAS,Gurdon,2020,2069.0,26.0,0.0,6.0,0.0,20.0,40.0,22.0,16.0,2.0,1.0
ARKANSAS,Hackett,2020,851.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
ARKANSAS,Hamburg,2020,2574.0,4.0,0.0,0.0,0.0,4.0,15.0,8.0,7.0,0.0,0.0
ARKANSAS,Harrisburg,2020,2309.0,10.0,0.0,4.0,0.0,6.0,47.0,9.0,32.0,6.0,0.0
ARKANSAS,Harrison,2020,13096.0,46.0,0.0,9.0,1.0,36.0,237.0,45.0,175.0,17.0,2.0
ARKANSAS,Haskell,2020,4667.0,5.0,0.0,0.0,1.0,4.0,40.0,15.0,22.0,3.0,1.0
ARKANSAS,Hazen,2020,1331.0,10.0,0.0,0.0,0.0,10.0,16.0,9.0,6.0,1.0,0.0
ARKANSAS,Heber Springs,2020,6880.0,37.0,0.0,10.0,1.0,26.0,263.0,64.0,174.0,25.0,0.0
ARKANSAS,Helena-West Helena,2020,10086.0,165.0,14.0,6.0,16.0,129.0,495.0,143.0,328.0,24.0,19.0
ARKANSAS,Highfill,2020,641.0,5.0,0.0,1.0,0.0,4.0,5.0,3.0,0.0,2.0,0.0
ARKANSAS,Highland,2020,1113.0,9.0,0.0,2.0,0.0,7.0,23.0,2.0,19.0,2.0,0.0
ARKANSAS,Hope,2020,9543.0,122.0,1.0,15.0,6.0,100.0,337.0,82.0,230.0,25.0,2.0
ARKANSAS,Hot Springs,2020,38893.0,287.0,9.0,39.0,43.0,196.0,2276.0,656.0,1431.0,189.0,7.0
ARKANSAS,Hoxie,2020,2581.0,12.0,0.0,1.0,0.0,11.0,15.0,4.0,9.0,2.0,1.0
ARKANSAS,Jacksonville,2020,28217.0,327.0,8.0,21.0,35.0,263.0,1263.0,220.0,879.0,164.0,11.0
ARKANSAS,Jericho,2020,103.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0
ARKANSAS,Johnson,2020,3781.0,8.0,0.0,1.0,0.0,7.0,95.0,45.0,41.0,9.0,0.0
ARKANSAS,Jonesboro,2020,79702.0,642.0,12.0,78.0,55.0,497.0,2825.0,1038.0,1576.0,211.0,13.0
ARKANSAS,Judsonia,2020,1991.0,12.0,0.0,2.0,0.0,10.0,34.0,14.0,15.0,5.0,0.0
ARKANSAS,Lake City,2020,2720.0,3.0,0.0,1.0,0.0,2.0,13.0,5.0,7.0,1.0,0.0
ARKANSAS,Lakeview,2020,718.0,5.0,0.0,3.0,0.0,2.0,10.0,2.0,7.0,1.0,0.0
ARKANSAS,Lake Village,2020,2155.0,6.0,1.0,0.0,1.0,4.0,51.0,9.0,41.0,1.0,0.0
